mono_mean,ch,well,rep,plate,Biofilm_Volume,sample,iso_id,species,culture,medium,temp,time,log2fc,threshold
15932.892026293104,mKate,D11,1,jena,144260.5351,41,15G7S2,Micrococcus luteus,dual,TSB,30,24,3.1786066172718073,above
15932.892026293104,mKate,D12,1,jena,37897.901620000004,Bs,Bs,NA,mono,TSB,30,24,1.2501478785712097,above
15932.892026293104,mKate,E01,1,jena,3066.16402,blk,blk,NA,blk,TSB,30,24,-2.3770309349715655,below
15932.892026293104,mKate,E02,1,jena,19469.24614,40,15G7S1,Pseudomonas migulae/brenneri,dual,TSB,30,24,0.2892629640423946,below
15932.892026293104,mKate,E04,1,jena,1610.5312999999999,38,15G6S2,Pseudomonas umsongensis/putida,dual,TSB,30,24,-3.305504043914018,below
15932.892026293104,mKate,E05,1,jena,2446.3993,37,15G6S1,Pseudomonas migulae/corrugata,dual,TSB,30,24,-2.702686753030175,below
15932.892026293104,mKate,E06,1,jena,17735.252033333334,36,15G5S3,NA,dual,TSB,30,24,0.15469301778650285,below
15932.892026293104,mKate,E07,1,jena,4494.818933333334,35,15G5S2,NA,dual,TSB,30,24,-1.825352320388509,below
15932.892026293104,mKate,E08,1,jena,20918.29414,Bs,Bs,NA,mono,TSB,30,24,0.3928260144383586,below
15932.892026293104,mKate,E10,1,jena,72536.90186,Bs,Bs,NA,mono,TSB,30,24,2.1867268578612666,above
15932.892026293104,mKate,E11,1,jena,13004.32576,31,15G3S1,Pseudomonas putida,dual,TSB,30,24,-0.2929056218231611,below
15932.892026293104,mKate,E12,1,jena,32258.6356,Bs,Bs,NA,mono,TSB,30,24,1.0177219836485325,above
15932.892026293104,mKate,F01,1,jena,1105.12612,blk,blk,NA,blk,TSB,30,24,-3.848420362970523,below
15932.892026293104,mKate,F02,1,jena,55823.68182,30,15G2S5,NA,dual,TSB,30,24,1.8088949647735533,above
15932.892026293104,mKate,F03,1,jena,12854.99818,29,15G2S3,Bacillus simplex,dual,TSB,30,24,-0.3095665285845231,below
15932.892026293104,mKate,F04,1,jena,13907.650940000001,Bs,Bs,NA,mono,TSB,30,24,-0.1960256650143566,below
15932.892026293104,mKate,F05,1,jena,15903.0691,27,15G2S1,Bacillus cereus,dual,TSB,30,24,-0.0026122282225806994,below
15932.892026293104,mKate,F06,1,jena,325620.35474,26,15G1S3,Staphylococcus epidermis,dual,TSB,30,24,4.353115253242292,above
15932.892026293104,mKate,F07,1,jena,36336.3937,25,15G1S2,Staphylococcus warneri/pasteuri,dual,TSB,30,24,1.1894467874931545,above
15932.892026293104,mKate,F08,1,jena,17904.62052,24,15G1S1,Pseudomonas putida,dual,TSB,30,24,0.1684043577089999,below
15932.892026293104,mKate,F09,1,jena,15094.093719999999,23,14G8S4,Pseudomonas fluorescens,dual,TSB,30,24,-0.07792844441727328,below
15932.892026293104,mKate,F10,1,jena,19379.70076,22,14G8S3,Bacillus simplex,dual,TSB,30,24,0.2826125776436528,below
15932.892026293104,mKate,F11,1,jena,4342.28846,21,14G8S2,Kocuria sp.,dual,TSB,30,24,-1.875148480627872,below
15932.892026293104,mKate,F12,1,jena,101732.62754,Bs,Bs,NA,mono,TSB,30,24,2.674716570049197,above
15932.892026293104,mKate,G01,1,jena,230.73506666666668,blk,blk,NA,blk,TSB,30,24,-6.103387975694742,below
15932.892026293104,mKate,G02,1,jena,167023.9147,20,14G8S1,Staphylococcus epidermis,dual,TSB,30,24,3.3899832584763034,above
15932.892026293104,mKate,G03,1,jena,14805.47326,19,14G7S3,Pseudomonas putida,dual,TSB,30,24,-0.1057801111060357,below
15932.892026293104,mKate,G04,1,jena,20509.41096,18,14G7S2,Bacillus circulans,dual,TSB,30,24,0.36434824041767894,below
15932.892026293104,mKate,G05,1,jena,6620.3982399999995,17,14G7S1,Bacillus simplex,dual,TSB,30,24,-1.2668003503873884,below
15932.892026293104,mKate,G06,1,jena,6354.57306,16,14G6S3,Staphylococcus epidermis,dual,TSB,30,24,-1.3259140394499915,below
15932.892026293104,mKate,G07,1,jena,4468.75264,15,14G6S2,Pseudomonas marginalis,dual,TSB,30,24,-1.8337412597389213,below
15932.892026293104,mKate,G09,1,jena,22836.94448,13,14G5S3,NA,dual,TSB,30,24,0.5194246488869873,below
15932.892026293104,mKate,G10,1,jena,4452.84028,12,14G5S2,NA,dual,TSB,30,24,-1.8388864310614323,below
15932.892026293104,mKate,G11,1,jena,107321.10682,11,14G5S1,Micrococcus luteus,dual,TSB,30,24,2.751867217679666,above
15932.892026293104,mKate,G12,1,jena,57275.69424,Bs,Bs,NA,mono,TSB,30,24,1.8459400704936715,above
15932.892026293104,mKate,H01,1,jena,227.52645,blk,blk,NA,blk,TSB,30,24,-6.123503193572648,below
15932.892026293104,mKate,H02,1,jena,17201.5629,10,14G4S4,Bacillus simplex,dual,TSB,30,24,0.11061536039143191,below
15932.892026293104,mKate,H04,1,jena,93844.41878,8,14G4S1,Bacillus simplex,dual,TSB,30,24,2.558278160749798,above
15932.892026293104,mKate,H05,1,jena,85580.78708000001,7,14G3S3,Bacillus simplex,dual,TSB,30,24,2.425295646507903,above
15932.892026293104,mKate,H06,1,jena,134918.18436,6,14G3S2,Pseudomonas sp,dual,TSB,30,24,3.0820154382479763,above
15932.892026293104,mKate,H07,1,jena,101252.78604,5,14G3S1,Micrococcus luteus,dual,TSB,30,24,2.6678957900833886,above
15932.892026293104,mKate,H08,1,jena,196592.55883999998,4,14G2S4,NA,dual,TSB,30,24,3.625135990639511,above
15932.892026293104,mKate,H09,1,jena,39516.09096,3,14G2S2,Streptomyces avidinii,dual,TSB,30,24,1.3104685887543872,above
15932.892026293104,mKate,H10,1,jena,33259.4965,2,14G1S2,Clavibacter michiganensis,dual,TSB,30,24,1.0618015463164816,above
15932.892026293104,mKate,H11,1,jena,68611.57206,1,14G1S1,Pseudomonas jessenii,dual,TSB,30,24,2.1064647909131557,above
15932.892026293104,mKate,H12,1,jena,158344.39768,Bs,Bs,NA,mono,TSB,30,24,3.312994872360597,above
3475.768333189655,eGFP,A01,1,jena,1207.0573,blk,blk,NA,blk,TSB,30,24,-1.5246430413768748,below
3475.768333189655,eGFP,A02,1,jena,5732.67876,Bs,Bs,NA,mono,TSB,30,24,0.7221291502852732,below
3475.768333189655,eGFP,A03,1,jena,3915.4996,Bs,Bs,NA,mono,TSB,30,24,0.1722328841379287,below
3475.768333189655,eGFP,A04,1,jena,9293.9492,Bs,Bs,NA,mono,TSB,30,24,1.419115053467701,above
3475.768333189655,eGFP,A05,1,jena,10523.06912,Bs,Bs,NA,mono,TSB,30,24,1.5982887969813528,above
3475.768333189655,eGFP,A06,1,jena,7710.32752,Bs,Bs,NA,mono,TSB,30,24,1.1496473173837036,above
3475.768333189655,eGFP,A07,1,jena,7113.71585,Bs,Bs,NA,mono,TSB,30,24,1.0334742121565912,above
3475.768333189655,eGFP,A08,1,jena,8029.937899999999,Bs,Bs,NA,mono,TSB,30,24,1.2082365570761302,above
3475.768333189655,eGFP,A09,1,jena,5235.03384,Bs,Bs,NA,mono,TSB,30,24,0.5911424944285928,below
3475.768333189655,eGFP,A10,1,jena,2283.1526599999997,Bs,Bs,NA,mono,TSB,30,24,-0.6056728512908096,below
3475.768333189655,eGFP,A11,1,jena,2735.684175,Bs,Bs,NA,mono,TSB,30,24,-0.3449029757267346,below
3475.768333189655,eGFP,A12,1,jena,30724.505859999997,Bs,Bs,NA,mono,TSB,30,24,3.144032931101322,above
3475.768333189655,eGFP,B02,1,jena,7406.13546,Bs,Bs,NA,mono,TSB,30,24,1.09158379423157,above
3475.768333189655,eGFP,B03,1,jena,5534.23412,Bs,Bs,NA,mono,TSB,30,24,0.6713124120910525,below
3475.768333189655,eGFP,B04,1,jena,3865.99068,Bs,Bs,NA,mono,TSB,30,24,0.15387936043511272,below
3475.768333189655,eGFP,B05,1,jena,2050.6174,Bs,Bs,NA,mono,TSB,30,24,-0.7605702147485144,below
3475.768333189655,eGFP,B06,1,jena,3259.66798,66,16G7S4,Bacillus,dual,TSB,30,24,-0.09216438184460798,below
3475.768333189655,eGFP,B07,1,jena,49970.075880000004,65,16G7S3,Bacillus,dual,TSB,30,24,3.845689447710136,above
3475.768333189655,eGFP,B08,1,jena,4398.20326,64,16G7S2,Bacillus,dual,TSB,30,24,0.3399103339228125,below
3475.768333189655,eGFP,B09,1,jena,5549.465020000001,63,16G7S1,Bacillus,dual,TSB,30,24,0.6752767191585676,below
3475.768333189655,eGFP,B11,1,jena,118735.59246,61,16G6S3,Bacillus,dual,TSB,30,24,5.094288878784269,above
3475.768333189655,eGFP,B12,1,jena,3099.1132,Bs,Bs,NA,mono,TSB,30,24,-0.16501103071269826,below
3475.768333189655,eGFP,C01,1,jena,5705.7308,blk,blk,NA,blk,TSB,30,24,0.7153325823908199,below
3475.768333189655,eGFP,C02,1,jena,22480.09168,60,16G6S2,Bacillus,dual,TSB,30,24,2.6933082624135083,above
3475.768333189655,eGFP,C03,1,jena,3894.0673,59,16G6S1,Bacillus,dual,TSB,30,24,0.164316328879038,below
3475.768333189655,eGFP,C04,1,jena,6530.52912,58,16G3S4,Bacillus,dual,TSB,30,24,0.9100888590005473,below
3475.768333189655,eGFP,C05,1,jena,3387.97212,Bs,Bs,NA,mono,TSB,30,24,-0.03648415861296386,below
3475.768333189655,eGFP,C06,1,jena,5819.8901399999995,Bs,Bs,NA,mono,TSB,30,24,0.7439078623905699,below
3475.768333189655,eGFP,C07,1,jena,3346.01048,55,16G3S1,Bacillus bataviensis,dual,TSB,30,24,-0.05445885855903816,below
3475.768333189655,eGFP,C08,1,jena,3981.4661,54,16G2S4,Bacillus,dual,TSB,30,24,0.19633015424172404,below
3475.768333189655,eGFP,C09,1,jena,4590.00356,53,16G2S3,Bacillus,dual,TSB,30,24,0.40147762387049746,below
3475.768333189655,eGFP,C10,1,jena,4423.12808,Bs,Bs,NA,mono,TSB,30,24,0.3480612257965699,below
3475.768333189655,eGFP,C11,1,jena,9084.51582,51,16G2S1,Bacillus,dual,TSB,30,24,1.386236497293468,above
3475.768333189655,eGFP,C12,1,jena,5517.04398,Bs,Bs,NA,mono,TSB,30,24,0.6668250284388382,below
