P5PL2;C05;p5_104;down;down;;P5PL2;G11;p5_150;neutral;neutral
P5PL2;C06;p5_105;neutral;neutral;;P5PL2;H02;p5_151;neutral;neutral
P5PL2;C07;p5_106;neutral;neutral;;P5PL2;H03;p5_152;up;up
P5PL2;C08;p5_107;down;down;;P5PL2;H04;p5_153;neutral;down
P5PL2;C09;p5_108;neutral;neutral;;P5PL2;H05;p5_154;down;down
P5PL2;C10;p5_109;up;up;;P5PL2;H06;p5_155;neutral;down
P5PL2;C11;p5_110;down;down;;P5PL2;H07;p5_156;neutral;down
P5PL2;D02;p5_111;neutral;down;;P5PL2;H08;p5_157;neutral;neutral
P5PL2;D03;p5_112;down;down;;P5PL2;H09;p5_158;neutral;neutral
P5PL2;D04;p5_113;down;down;;P5PL2;H10;p5_159;neutral;neutral
P5PL2;D05;p5_114;down;down;;P5PL2;H11;p5_160;down;neutral
P5PL2;D06;p5_115;down;down;;;;;;
P5PL2;D07;p5_116;neutral;neutral;;;;;;
P5PL2;D08;p5_117;neutral;down;;P5PL2;;;;
P5PL2;D09;p5_118;neutral;down;;;;;;
P5PL2;D10;p5_119;neutral;neutral;;;;;;
P5PL2;D11;p5_120;neutral;neutral;;;;;;
P5PL2;E02;p5_121;down;down;;;;;;
P5PL2;E03;p5_122;neutral;neutral;;;;;;
P5PL2;E04;p5_123;down;neutral;;;;;;
P5PL2;E05;p5_124;down;down;;;;;;
P5PL2;E06;p5_125;down;down;;;;;;
P5PL2;E07;p5_126;neutral;neutral;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P5PL3;A02;p5_161;down;down;;P5PL3;E08;p5_207;neutral;neutral
P5PL3;A03;p5_162;neutral;neutral;;P5PL3;E09;p8_13;neutral;down
P5PL3;A04;p5_163;neutral;neutral;;P5PL3;E10;p8_14;neutral;neutral
P5PL3;A05;p5_164;neutral;neutral;;P5PL3;E11;p8_15;neutral;neutral
P5PL3;A06;p5_165;down;down;;P5PL3;F02;p5_211;neutral;down
P5PL3;A07;p5_166;down;down;;P5PL3;F03;p5_212;neutral;neutral
P5PL3;A08;p5_167;down;neutral;;P5PL3;F04;p5_213;neutral;neutral
P5PL3;A09;p8_1;down;down;;P5PL3;F05;p5_214;down;neutral
P5PL3;A10;p8_2;neutral;neutral;;P5PL3;F06;p5_215;neutral;neutral
P5PL3;A11;p8_3;neutral;neutral;;P5PL3;F07;p5_216;down;up
P5PL3;B02;p5_171;neutral;neutral;;P5PL3;F08;p5_217;neutral;neutral
P5PL3;B03;p5_172;neutral;neutral;;P5PL3;F09;p8_16;down;neutral
P5PL3;B04;p5_173;neutral;neutral;;P5PL3;F10;p8_17;neutral;neutral
P5PL3;B05;p5_174;neutral;neutral;;P5PL3;F11;p8_18;down;down
P5PL3;B06;p5_175;neutral;down;;P5PL3;G02;p5_221;down;neutral
P5PL3;B07;p5_176;neutral;neutral;;P5PL3;G03;p5_222;down;down
P5PL3;B08;p5_177;neutral;neutral;;P5PL3;G04;p5_223;neutral;neutral
P5PL3;B09;p8_4;down;down;;P5PL3;G05;p5_224;down;neutral
P5PL3;B10;p8_5;neutral;neutral;;P5PL3;G06;p5_225;neutral;neutral
P5PL3;B11;p8_6;neutral;neutral;;P5PL3;G07;p5_226;down;down
P5PL3;C02;p5_181;neutral;down;;P5PL3;G08;p5_227;neutral;neutral
P5PL3;C03;p5_182;neutral;neutral;;P5PL3;G09;p8_19;down;down
