P9PL2;D06;p9_99;neutral;neutral;;;;;;
P9PL2;D07;p9_100;neutral;neutral;;;;;;
P9PL2;D08;p9_101;neutral;neutral;;P9PL2;;;;
P9PL2;D09;p9_102;neutral;neutral;;;;;;
P9PL2;D10;p9_103;neutral;neutral;;;;;;
P9PL2;D11;p9_104;neutral;neutral;;;;;;
P9PL2;E02;p9_105;neutral;neutral;;;;;;
P9PL2;E03;p9_106;neutral;neutral;;;;;;
P9PL2;E04;p9_107;neutral;down;;;;;;
P9PL2;E05;p9_108;neutral;neutral;;;;;;
P9PL2;E06;p9_109;neutral;neutral;;;;;;
P9PL2;E07;p9_110;neutral;neutral;;;;;;
plate;well;iso_id;mKate;eGFP;;plate;well;iso_id;mKate;eGFP
P9PL3;A02;p9_145;neutral;down;;P9PL3;E08;p9_191;neutral;neutral
P9PL3;A03;p9_146;neutral;neutral;;P9PL3;E09;p9_192;neutral;neutral
P9PL3;A04;p9_147;down;down;;P9PL3;E10;p9_193;neutral;neutral
P9PL3;A05;p9_148;neutral;neutral;;P9PL3;E11;p9_194;neutral;neutral
P9PL3;A06;p9_149;neutral;neutral;;P9PL3;F02;p9_195;neutral;up
P9PL3;A07;p9_150;neutral;neutral;;P9PL3;F03;p9_196;neutral;neutral
P9PL3;A08;p9_151;neutral;neutral;;P9PL3;F04;p9_197;neutral;neutral
P9PL3;A09;p9_152;neutral;neutral;;P9PL3;F05;p9_198;down;neutral
P9PL3;A10;p9_153;neutral;neutral;;P9PL3;F06;p9_199;neutral;neutral
P9PL3;A11;p9_154;neutral;neutral;;P9PL3;F07;p9_200;neutral;neutral
P9PL3;B02;p9_155;neutral;neutral;;P9PL3;F08;p9_201;neutral;neutral
P9PL3;B03;p9_156;down;down;;P9PL3;F09;p9_202;down;neutral
P9PL3;B04;p9_157;down;neutral;;P9PL3;F10;p9_203;down;neutral
P9PL3;B05;p9_158;down;neutral;;P9PL3;F11;p9_204;neutral;down
P9PL3;B06;p9_159;neutral;neutral;;P9PL3;G02;p9_205;neutral;up
P9PL3;B07;p9_160;neutral;neutral;;P9PL3;G03;p9_206;neutral;neutral
P9PL3;B08;p9_161;neutral;neutral;;P9PL3;G04;p9_207;neutral;neutral
P9PL3;B09;p9_162;neutral;neutral;;P9PL3;G05;p9_208;down;neutral
P9PL3;B10;p9_163;neutral;down;;P9PL3;G06;p9_209;down;neutral
P9PL3;B11;p9_164;neutral;neutral;;P9PL3;G07;p9_210;neutral;down
P9PL3;C02;p9_165;neutral;neutral;;P9PL3;G08;p9_211;neutral;neutral
P9PL3;C03;p9_166;neutral;neutral;;P9PL3;G09;p9_212;neutral;neutral
P9PL3;C04;p9_167;neutral;neutral;;P9PL3;G10;p9_213;neutral;neutral
P9PL3;C05;p9_168;down;down;;P9PL3;G11;p9_214;down;down
P9PL3;C06;p9_169;down;neutral;;P9PL3;H02;p9_215;neutral;neutral
P9PL3;C07;p9_170;down;down;;P9PL3;H03;p9_216;neutral;neutral
P9PL3;C08;p9_171;down;down;;P9PL3;H04;p9_217;down;neutral
P9PL3;C09;p9_172;neutral;neutral;;P9PL3;H05;p9_218;neutral;neutral
P9PL3;C10;p9_173;down;down;;P9PL3;H06;p9_219;neutral;neutral
P9PL3;C11;p9_174;down;neutral;;P9PL3;H07;p9_220;neutral;down
P9PL3;D02;p9_175;neutral;neutral;;P9PL3;H08;p9_221;neutral;neutral
P9PL3;D03;p9_176;down;neutral;;P9PL3;H09;p9_222;neutral;neutral
P9PL3;D04;p9_177;neutral;neutral;;P9PL3;H10;p9_223;neutral;neutral
P9PL3;D05;p9_178;neutral;down;;P9PL3;H11;p9_224;neutral;neutral
P9PL3;D06;p9_179;down;neutral;;;;;;
P9PL3;D07;p9_180;neutral;neutral;;;;;;
P9PL3;D08;p9_181;neutral;neutral;;P9PL3;;;;
P9PL3;D09;p9_182;down;neutral;;;;;;
P9PL3;D10;p9_183;neutral;neutral;;;;;;
P9PL3;D11;p9_184;neutral;neutral;;;;;;
P9PL3;E02;p9_185;down;neutral;;;;;;
P9PL3;E03;p9_186;neutral;neutral;;;;;;
P9PL3;E04;p9_187;down;down;;;;;;
P9PL3;E05;p9_188;down;down;;;;;;
P9PL3;E06;p9_189;neutral;neutral;;;;;;
P9PL3;E07;p9_190;neutral;neutral;;;;;;
