well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P9PL2
A2;547;p9_65;;dual;TSB;30;24;P9PL2
A3;548;p9_66;;dual;TSB;30;24;P9PL2
A4;549;p9_67;;dual;TSB;30;24;P9PL2
A5;550;p9_68;;dual;TSB;30;24;P9PL2
A6;551;p9_69;;dual;TSB;30;24;P9PL2
A7;552;p9_70;;dual;TSB;30;24;P9PL2
A8;553;p9_71;;dual;TSB;30;24;P9PL2
A9;554;p9_72;;dual;TSB;30;24;P9PL2
A10;555;p9_73;;dual;TSB;30;24;P9PL2
A11;556;p9_74;;dual;TSB;30;24;P9PL2
A12;blk;blk;;blk;TSB;30;24;P9PL2
B1;Bs;Bs;;mono;TSB;30;24;P9PL2
B2;557;p9_75;;dual;TSB;30;24;P9PL2
B3;558;p9_76;;dual;TSB;30;24;P9PL2
B4;559;p9_77;;dual;TSB;30;24;P9PL2
B5;560;p9_78;;dual;TSB;30;24;P9PL2
B6;561;p9_79;;dual;TSB;30;24;P9PL2
B7;562;p9_80;;dual;TSB;30;24;P9PL2
B8;563;p9_81;;dual;TSB;30;24;P9PL2
B9;564;p9_82;;dual;TSB;30;24;P9PL2
B10;565;p9_83;;dual;TSB;30;24;P9PL2
B11;566;p9_84;;dual;TSB;30;24;P9PL2
B12;blk;blk;;blk;TSB;30;24;P9PL2
C1;Bs;Bs;;mono;TSB;30;24;P9PL2
C2;567;p9_85;;dual;TSB;30;24;P9PL2
C3;568;p9_86;;dual;TSB;30;24;P9PL2
C4;569;p9_87;;dual;TSB;30;24;P9PL2
C5;570;p9_88;;dual;TSB;30;24;P9PL2
C6;571;p9_89;;dual;TSB;30;24;P9PL2
C7;572;p9_90;;dual;TSB;30;24;P9PL2
C8;573;p9_91;;dual;TSB;30;24;P9PL2
C9;574;p9_92;;dual;TSB;30;24;P9PL2
C10;575;p9_93;;dual;TSB;30;24;P9PL2
C11;576;p9_94;;dual;TSB;30;24;P9PL2
C12;blk;blk;;blk;TSB;30;24;P9PL2
D1;Bs;Bs;;mono;TSB;30;24;P9PL2
D2;577;p9_95;;dual;TSB;30;24;P9PL2
D3;578;p9_96;;dual;TSB;30;24;P9PL2
D4;579;p9_97;;dual;TSB;30;24;P9PL2
D5;580;p9_98;;dual;TSB;30;24;P9PL2
D6;581;p9_99;;dual;TSB;30;24;P9PL2
D7;582;p9_100;;dual;TSB;30;24;P9PL2
D8;583;p9_101;;dual;TSB;30;24;P9PL2
D9;584;p9_102;;dual;TSB;30;24;P9PL2
D10;585;p9_103;;dual;TSB;30;24;P9PL2
D11;586;p9_104;;dual;TSB;30;24;P9PL2
D12;blk;blk;;blk;TSB;30;24;P9PL2
E1;Bs;Bs;;mono;TSB;30;24;P9PL2
E2;587;p9_105;;dual;TSB;30;24;P9PL2
E3;588;p9_106;;dual;TSB;30;24;P9PL2
E4;589;p9_107;;dual;TSB;30;24;P9PL2
E5;590;p9_108;;dual;TSB;30;24;P9PL2
E6;591;p9_109;;dual;TSB;30;24;P9PL2
E7;592;p9_110;;dual;TSB;30;24;P9PL2
E8;593;p9_111;;dual;TSB;30;24;P9PL2
E9;594;p9_112;;dual;TSB;30;24;P9PL2
E10;595;p9_113;;dual;TSB;30;24;P9PL2
E11;596;p9_114;;dual;TSB;30;24;P9PL2
E12;blk;blk;;blk;TSB;30;24;P9PL2
F1;Bs;Bs;;mono;TSB;30;24;P9PL2
F2;597;p9_115;;dual;TSB;30;24;P9PL2
F3;598;p9_116;;dual;TSB;30;24;P9PL2
F4;599;p9_117;;dual;TSB;30;24;P9PL2
F5;600;p9_118;;dual;TSB;30;24;P9PL2
F6;601;p9_119;;dual;TSB;30;24;P9PL2
F7;602;p9_120;;dual;TSB;30;24;P9PL2
F8;603;p9_121;;dual;TSB;30;24;P9PL2
F9;604;p9_122;;dual;TSB;30;24;P9PL2
F10;605;p9_123;;dual;TSB;30;24;P9PL2
F11;606;p9_124;;dual;TSB;30;24;P9PL2
F12;blk;blk;;blk;TSB;30;24;P9PL2
G1;Bs;Bs;;mono;TSB;30;24;P9PL2
G2;607;p9_125;;dual;TSB;30;24;P9PL2
G3;608;p9_126;;dual;TSB;30;24;P9PL2
G4;609;p9_127;;dual;TSB;30;24;P9PL2
G5;610;p9_128;;dual;TSB;30;24;P9PL2
G6;611;p9_129;;dual;TSB;30;24;P9PL2
G7;612;p9_130;;dual;TSB;30;24;P9PL2
G8;613;p9_131;;dual;TSB;30;24;P9PL2
G9;614;p9_132;;dual;TSB;30;24;P9PL2
G10;615;p9_133;;dual;TSB;30;24;P9PL2
G11;616;p9_134;;dual;TSB;30;24;P9PL2
G12;blk;blk;;blk;TSB;30;24;P9PL2
H1;Bs;Bs;;mono;TSB;30;24;P9PL2
H2;617;p9_135;;dual;TSB;30;24;P9PL2
H3;618;p9_136;;dual;TSB;30;24;P9PL2
H4;619;p9_137;;dual;TSB;30;24;P9PL2
H5;620;p9_138;;dual;TSB;30;24;P9PL2
H6;621;p9_139;;dual;TSB;30;24;P9PL2
H7;622;p9_140;;dual;TSB;30;24;P9PL2
H8;623;p9_141;;dual;TSB;30;24;P9PL2
H9;624;p9_142;;dual;TSB;30;24;P9PL2
H10;625;p9_143;;dual;TSB;30;24;P9PL2
H11;626;p9_144;;dual;TSB;30;24;P9PL2
H12;blk;blk;;blk;TSB;30;24;P9PL2
