well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P9PL1
A2;467;p8_264;;dual;TSB;30;24;P9PL1
A3;468;p8_265;;dual;TSB;30;24;P9PL1
A4;469;p9_1;;dual;TSB;30;24;P9PL1
A5;470;p9_2;;dual;TSB;30;24;P9PL1
A6;471;p9_3;;dual;TSB;30;24;P9PL1
A7;472;p9_4;;dual;TSB;30;24;P9PL1
A8;473;p9_5;;dual;TSB;30;24;P9PL1
A9;474;p9_6;;dual;TSB;30;24;P9PL1
A10;475;p9_7;;dual;TSB;30;24;P9PL1
A11;476;p9_8;;dual;TSB;30;24;P9PL1
A12;blk;blk;;blk;TSB;30;24;P9PL1
B1;Bs;Bs;;mono;TSB;30;24;P9PL1
B2;477;p8_266;;dual;TSB;30;24;P9PL1
B3;478;p8_267;;dual;TSB;30;24;P9PL1
B4;479;p9_9;;dual;TSB;30;24;P9PL1
B5;480;p9_10;;dual;TSB;30;24;P9PL1
B6;481;p9_11;;dual;TSB;30;24;P9PL1
B7;482;p9_12;;dual;TSB;30;24;P9PL1
B8;483;p9_13;;dual;TSB;30;24;P9PL1
B9;484;p9_14;;dual;TSB;30;24;P9PL1
B10;485;p9_15;;dual;TSB;30;24;P9PL1
B11;486;p9_16;;dual;TSB;30;24;P9PL1
B12;blk;blk;;blk;TSB;30;24;P9PL1
C1;Bs;Bs;;mono;TSB;30;24;P9PL1
C2;487;p8_268;;dual;TSB;30;24;P9PL1
C3;488;p8_269;;dual;TSB;30;24;P9PL1
C4;489;p9_17;;dual;TSB;30;24;P9PL1
C5;490;p9_18;;dual;TSB;30;24;P9PL1
C6;491;p9_19;;dual;TSB;30;24;P9PL1
C7;492;p9_20;;dual;TSB;30;24;P9PL1
C8;493;p9_21;;dual;TSB;30;24;P9PL1
C9;494;p9_22;;dual;TSB;30;24;P9PL1
C10;495;p9_23;;dual;TSB;30;24;P9PL1
C11;496;p9_24;;dual;TSB;30;24;P9PL1
C12;blk;blk;;blk;TSB;30;24;P9PL1
D1;Bs;Bs;;mono;TSB;30;24;P9PL1
D2;497;p8_270;;dual;TSB;30;24;P9PL1
D3;498;p8_271;;dual;TSB;30;24;P9PL1
D4;499;p9_25;;dual;TSB;30;24;P9PL1
D5;500;p9_26;;dual;TSB;30;24;P9PL1
D6;501;p9_27;;dual;TSB;30;24;P9PL1
D7;502;p9_28;;dual;TSB;30;24;P9PL1
D8;503;p9_29;;dual;TSB;30;24;P9PL1
D9;504;p9_30;;dual;TSB;30;24;P9PL1
D10;505;p9_31;;dual;TSB;30;24;P9PL1
D11;506;p9_32;;dual;TSB;30;24;P9PL1
D12;blk;blk;;blk;TSB;30;24;P9PL1
E1;Bs;Bs;;mono;TSB;30;24;P9PL1
E2;507;p8_272;;dual;TSB;30;24;P9PL1
E3;508;p8_273;;dual;TSB;30;24;P9PL1
E4;509;p9_33;;dual;TSB;30;24;P9PL1
E5;510;p9_34;;dual;TSB;30;24;P9PL1
E6;511;p9_35;;dual;TSB;30;24;P9PL1
E7;512;p9_36;;dual;TSB;30;24;P9PL1
E8;513;p9_37;;dual;TSB;30;24;P9PL1
E9;514;p9_38;;dual;TSB;30;24;P9PL1
E10;515;p9_39;;dual;TSB;30;24;P9PL1
E11;516;p9_40;;dual;TSB;30;24;P9PL1
E12;blk;blk;;blk;TSB;30;24;P9PL1
F1;Bs;Bs;;mono;TSB;30;24;P9PL1
F2;517;p8_274;;dual;TSB;30;24;P9PL1
F3;518;p9_275;;dual;TSB;30;24;P9PL1
F4;519;p9_41;;dual;TSB;30;24;P9PL1
F5;520;p9_42;;dual;TSB;30;24;P9PL1
F6;521;p9_43;;dual;TSB;30;24;P9PL1
F7;522;p9_44;;dual;TSB;30;24;P9PL1
F8;523;p9_45;;dual;TSB;30;24;P9PL1
F9;524;p9_46;;dual;TSB;30;24;P9PL1
F10;525;p9_47;;dual;TSB;30;24;P9PL1
F11;526;p9_48;;dual;TSB;30;24;P9PL1
F12;blk;blk;;blk;TSB;30;24;P9PL1
G1;Bs;Bs;;mono;TSB;30;24;P9PL1
G2;527;p8_276;;dual;TSB;30;24;P9PL1
G3;528;p8_277;;dual;TSB;30;24;P9PL1
G4;529;p9_49;;dual;TSB;30;24;P9PL1
G5;530;p9_50;;dual;TSB;30;24;P9PL1
G6;531;p9_51;;dual;TSB;30;24;P9PL1
G7;532;p9_52;;dual;TSB;30;24;P9PL1
G8;533;p9_53;;dual;TSB;30;24;P9PL1
G9;534;p9_54;;dual;TSB;30;24;P9PL1
G10;535;p9_55;;dual;TSB;30;24;P9PL1
G11;536;p9_56;;dual;TSB;30;24;P9PL1
G12;blk;blk;;blk;TSB;30;24;P9PL1
H1;Bs;Bs;;mono;TSB;30;24;P9PL1
H2;537;p8_278;;dual;TSB;30;24;P9PL1
H3;538;p8_279;;dual;TSB;30;24;P9PL1
H4;539;p9_57;;dual;TSB;30;24;P9PL1
H5;540;p9_58;;dual;TSB;30;24;P9PL1
H6;541;p9_59;;dual;TSB;30;24;P9PL1
H7;542;p9_60;;dual;TSB;30;24;P9PL1
H8;543;p9_61;;dual;TSB;30;24;P9PL1
H9;544;p9_62;;dual;TSB;30;24;P9PL1
H10;545;p9_63;;dual;TSB;30;24;P9PL1
H11;546;p9_64;;dual;TSB;30;24;P9PL1
H12;blk;blk;;blk;TSB;30;24;P9PL1
