well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P9PL3
A2;627;p9_145;;dual;TSB;30;24;P9PL3
A3;628;p9_146;;dual;TSB;30;24;P9PL3
A4;629;p9_147;;dual;TSB;30;24;P9PL3
A5;630;p9_148;;dual;TSB;30;24;P9PL3
A6;631;p9_149;;dual;TSB;30;24;P9PL3
A7;632;p9_150;;dual;TSB;30;24;P9PL3
A8;633;p9_151;;dual;TSB;30;24;P9PL3
A9;634;p9_152;;dual;TSB;30;24;P9PL3
A10;635;p9_153;;dual;TSB;30;24;P9PL3
A11;636;p9_154;;dual;TSB;30;24;P9PL3
A12;blk;blk;;blk;TSB;30;24;P9PL3
B1;Bs;Bs;;mono;TSB;30;24;P9PL3
B2;637;p9_155;;dual;TSB;30;24;P9PL3
B3;638;p9_156;;dual;TSB;30;24;P9PL3
B4;639;p9_157;;dual;TSB;30;24;P9PL3
B5;640;p9_158;;dual;TSB;30;24;P9PL3
B6;641;p9_159;;dual;TSB;30;24;P9PL3
B7;642;p9_160;;dual;TSB;30;24;P9PL3
B8;643;p9_161;;dual;TSB;30;24;P9PL3
B9;644;p9_162;;dual;TSB;30;24;P9PL3
B10;645;p9_163;;dual;TSB;30;24;P9PL3
B11;646;p9_164;;dual;TSB;30;24;P9PL3
B12;blk;blk;;blk;TSB;30;24;P9PL3
C1;Bs;Bs;;mono;TSB;30;24;P9PL3
C2;647;p9_165;;dual;TSB;30;24;P9PL3
C3;648;p9_166;;dual;TSB;30;24;P9PL3
C4;649;p9_167;;dual;TSB;30;24;P9PL3
C5;650;p9_168;;dual;TSB;30;24;P9PL3
C6;651;p9_169;;dual;TSB;30;24;P9PL3
C7;652;p9_170;;dual;TSB;30;24;P9PL3
C8;653;p9_171;;dual;TSB;30;24;P9PL3
C9;654;p9_172;;dual;TSB;30;24;P9PL3
C10;655;p9_173;;dual;TSB;30;24;P9PL3
C11;656;p9_174;;dual;TSB;30;24;P9PL3
C12;blk;blk;;blk;TSB;30;24;P9PL3
D1;Bs;Bs;;mono;TSB;30;24;P9PL3
D2;657;p9_175;;dual;TSB;30;24;P9PL3
D3;658;p9_176;;dual;TSB;30;24;P9PL3
D4;659;p9_177;;dual;TSB;30;24;P9PL3
D5;660;p9_178;;dual;TSB;30;24;P9PL3
D6;661;p9_179;;dual;TSB;30;24;P9PL3
D7;662;p9_180;;dual;TSB;30;24;P9PL3
D8;663;p9_181;;dual;TSB;30;24;P9PL3
D9;664;p9_182;;dual;TSB;30;24;P9PL3
D10;665;p9_183;;dual;TSB;30;24;P9PL3
D11;666;p9_184;;dual;TSB;30;24;P9PL3
D12;blk;blk;;blk;TSB;30;24;P9PL3
E1;Bs;Bs;;mono;TSB;30;24;P9PL3
E2;667;p9_185;;dual;TSB;30;24;P9PL3
E3;668;p9_186;;dual;TSB;30;24;P9PL3
E4;669;p9_187;;dual;TSB;30;24;P9PL3
E5;670;p9_188;;dual;TSB;30;24;P9PL3
E6;671;p9_189;;dual;TSB;30;24;P9PL3
E7;672;p9_190;;dual;TSB;30;24;P9PL3
E8;673;p9_191;;dual;TSB;30;24;P9PL3
E9;674;p9_192;;dual;TSB;30;24;P9PL3
E10;675;p9_193;;dual;TSB;30;24;P9PL3
E11;676;p9_194;;dual;TSB;30;24;P9PL3
E12;blk;blk;;blk;TSB;30;24;P9PL3
F1;Bs;Bs;;mono;TSB;30;24;P9PL3
F2;677;p9_195;;dual;TSB;30;24;P9PL3
F3;678;p9_196;;dual;TSB;30;24;P9PL3
F4;679;p9_197;;dual;TSB;30;24;P9PL3
F5;680;p9_198;;dual;TSB;30;24;P9PL3
F6;681;p9_199;;dual;TSB;30;24;P9PL3
F7;682;p9_200;;dual;TSB;30;24;P9PL3
F8;683;p9_201;;dual;TSB;30;24;P9PL3
F9;684;p9_202;;dual;TSB;30;24;P9PL3
F10;685;p9_203;;dual;TSB;30;24;P9PL3
F11;686;p9_204;;dual;TSB;30;24;P9PL3
F12;blk;blk;;blk;TSB;30;24;P9PL3
G1;Bs;Bs;;mono;TSB;30;24;P9PL3
G2;687;p9_205;;dual;TSB;30;24;P9PL3
G3;688;p9_206;;dual;TSB;30;24;P9PL3
G4;689;p9_207;;dual;TSB;30;24;P9PL3
G5;690;p9_208;;dual;TSB;30;24;P9PL3
G6;691;p9_209;;dual;TSB;30;24;P9PL3
G7;692;p9_210;;dual;TSB;30;24;P9PL3
G8;693;p9_211;;dual;TSB;30;24;P9PL3
G9;694;p9_212;;dual;TSB;30;24;P9PL3
G10;695;p9_213;;dual;TSB;30;24;P9PL3
G11;696;p9_214;;dual;TSB;30;24;P9PL3
G12;blk;blk;;blk;TSB;30;24;P9PL3
H1;Bs;Bs;;mono;TSB;30;24;P9PL3
H2;697;p9_215;;dual;TSB;30;24;P9PL3
H3;698;p9_216;;dual;TSB;30;24;P9PL3
H4;699;p9_217;;dual;TSB;30;24;P9PL3
H5;700;p9_218;;dual;TSB;30;24;P9PL3
H6;701;p9_219;;dual;TSB;30;24;P9PL3
H7;702;p9_220;;dual;TSB;30;24;P9PL3
H8;703;p9_221;;dual;TSB;30;24;P9PL3
H9;704;p9_222;;dual;TSB;30;24;P9PL3
H10;705;p9_223;;dual;TSB;30;24;P9PL3
H11;706;p9_224;;dual;TSB;30;24;P9PL3
H12;blk;blk;;blk;TSB;30;24;P9PL3
