well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;TSB;30;24;P8PL3
A2;388;p8_185;;dual;TSB;30;24;P8PL3
A3;389;p8_186;;dual;TSB;30;24;P8PL3
A4;390;p8_187;;dual;TSB;30;24;P8PL3
A5;391;p8_188;;dual;TSB;30;24;P8PL3
A6;392;p8_189;;dual;TSB;30;24;P8PL3
A7;393;p8_190;;dual;TSB;30;24;P8PL3
A8;394;p8_191;;dual;TSB;30;24;P8PL3
A9;395;p8_192;;dual;TSB;30;24;P8PL3
A10;396;p8_193;;dual;TSB;30;24;P8PL3
A11;397;p8_194;;dual;TSB;30;24;P8PL3
A12;blk;blk;;blk;TSB;30;24;P8PL3
B1;Bs;Bs;;mono;TSB;30;24;P8PL3
B2;398;p8_195;;dual;TSB;30;24;P8PL3
B3;399;p8_196;;dual;TSB;30;24;P8PL3
B4;400;p8_197;;dual;TSB;30;24;P8PL3
B5;401;p8_198;;dual;TSB;30;24;P8PL3
B6;402;p8_199;;dual;TSB;30;24;P8PL3
B7;403;p8_200;;dual;TSB;30;24;P8PL3
B8;404;p8_201;;dual;TSB;30;24;P8PL3
B9;405;p8_202;;dual;TSB;30;24;P8PL3
B10;406;p8_203;;dual;TSB;30;24;P8PL3
B11;407;p8_204;;dual;TSB;30;24;P8PL3
B12;blk;blk;;blk;TSB;30;24;P8PL3
C1;Bs;Bs;;mono;TSB;30;24;P8PL3
C2;408;p8_205;;dual;TSB;30;24;P8PL3
C3;409;p8_206;;dual;TSB;30;24;P8PL3
C4;410;p8_207;;dual;TSB;30;24;P8PL3
C5;411;p8_208;;dual;TSB;30;24;P8PL3
C6;412;p8_209;;dual;TSB;30;24;P8PL3
C7;413;p8_210;;dual;TSB;30;24;P8PL3
C8;414;p8_211;;dual;TSB;30;24;P8PL3
C9;415;p8_212;;dual;TSB;30;24;P8PL3
C10;416;p8_213;;dual;TSB;30;24;P8PL3
C11;417;p8_214;;dual;TSB;30;24;P8PL3
C12;blk;blk;;blk;TSB;30;24;P8PL3
D1;Bs;Bs;;mono;TSB;30;24;P8PL3
D2;418;p8_215;;dual;TSB;30;24;P8PL3
D3;419;p8_216;;dual;TSB;30;24;P8PL3
D4;420;p8_217;;dual;TSB;30;24;P8PL3
D5;421;p8_218;;dual;TSB;30;24;P8PL3
D6;422;p8_219;;dual;TSB;30;24;P8PL3
D7;423;p8_220;;dual;TSB;30;24;P8PL3
D8;424;p8_221;;dual;TSB;30;24;P8PL3
D9;425;p8_222;;dual;TSB;30;24;P8PL3
D10;426;p8_223;;dual;TSB;30;24;P8PL3
D11;427;p8_224;;dual;TSB;30;24;P8PL3
D12;blk;blk;;blk;TSB;30;24;P8PL3
E1;Bs;Bs;;mono;TSB;30;24;P8PL3
E2;428;p8_225;;dual;TSB;30;24;P8PL3
E3;429;p8_226;;dual;TSB;30;24;P8PL3
E4;430;p8_227;;dual;TSB;30;24;P8PL3
E5;431;p8_228;;dual;TSB;30;24;P8PL3
E6;432;p8_229;;dual;TSB;30;24;P8PL3
E7;433;p8_230;;dual;TSB;30;24;P8PL3
E8;434;p8_231;;dual;TSB;30;24;P8PL3
E9;435;p8_232;;dual;TSB;30;24;P8PL3
E10;436;p8_233;;dual;TSB;30;24;P8PL3
E11;437;p8_234;;dual;TSB;30;24;P8PL3
E12;blk;blk;;blk;TSB;30;24;P8PL3
F1;Bs;Bs;;mono;TSB;30;24;P8PL3
F2;438;p8_235;;dual;TSB;30;24;P8PL3
F3;439;p8_236;;dual;TSB;30;24;P8PL3
F4;440;p8_237;;dual;TSB;30;24;P8PL3
F5;441;p8_238;;dual;TSB;30;24;P8PL3
F6;442;p8_239;;dual;TSB;30;24;P8PL3
F7;443;p8_240;;dual;TSB;30;24;P8PL3
F8;444;p8_241;;dual;TSB;30;24;P8PL3
F9;445;p8_242;;dual;TSB;30;24;P8PL3
F10;446;p8_243;;dual;TSB;30;24;P8PL3
F11;447;p8_244;;dual;TSB;30;24;P8PL3
F12;blk;blk;;blk;TSB;30;24;P8PL3
G1;Bs;Bs;;mono;TSB;30;24;P8PL3
G2;448;p8_245;;dual;TSB;30;24;P8PL3
G3;449;p8_246;;dual;TSB;30;24;P8PL3
G4;450;p8_247;;dual;TSB;30;24;P8PL3
G5;451;p8_248;;dual;TSB;30;24;P8PL3
G6;452;p8_249;;dual;TSB;30;24;P8PL3
G7;453;p8_250;;dual;TSB;30;24;P8PL3
G8;454;p8_251;;dual;TSB;30;24;P8PL3
G9;455;p8_252;;dual;TSB;30;24;P8PL3
G10;456;p8_253;;dual;TSB;30;24;P8PL3
G11;457;p8_254;;dual;TSB;30;24;P8PL3
G12;blk;blk;;blk;TSB;30;24;P8PL3
H1;Bs;Bs;;mono;TSB;30;24;P8PL3
H2;Bs;Bs;;mono;TSB;30;24;P8PL3
H3;458;p8_255;;dual;TSB;30;24;P8PL3
H4;459;p8_256;;dual;TSB;30;24;P8PL3
H5;460;p8_257;;dual;TSB;30;24;P8PL3
H6;461;p8_258;;dual;TSB;30;24;P8PL3
H7;462;p8_259;;dual;TSB;30;24;P8PL3
H8;463;p8_260;;dual;TSB;30;24;P8PL3
H9;464;p8_261;;dual;TSB;30;24;P8PL3
H10;465;p8_262;;dual;TSB;30;24;P8PL3
H11;466;p8_263;;dual;TSB;30;24;P8PL3
H12;blk;blk;;blk;TSB;30;24;P8PL3
