well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
A2;626;p9_65;;dual;0.1x LBGM;30;24;P9PL2
A3;627;p9_66;;dual;0.1x LBGM;30;24;P9PL2
A4;628;p9_67;;dual;0.1x LBGM;30;24;P9PL2
A5;629;p9_68;;dual;0.1x LBGM;30;24;P9PL2
A6;630;p9_69;;dual;0.1x LBGM;30;24;P9PL2
A7;631;p9_70;;dual;0.1x LBGM;30;24;P9PL2
A8;632;p9_71;;dual;0.1x LBGM;30;24;P9PL2
A9;633;p9_72;;dual;0.1x LBGM;30;24;P9PL2
A10;634;p9_73;;dual;0.1x LBGM;30;24;P9PL2
A11;635;p9_74;;dual;0.1x LBGM;30;24;P9PL2
A12;blk;blk;;blk;0.1x LBGM;30;24;P9PL2
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
B2;636;p9_75;;dual;0.1x LBGM;30;24;P9PL2
B3;637;p9_76;;dual;0.1x LBGM;30;24;P9PL2
B4;638;p9_77;;dual;0.1x LBGM;30;24;P9PL2
B5;639;p9_78;;dual;0.1x LBGM;30;24;P9PL2
B6;640;p9_79;;dual;0.1x LBGM;30;24;P9PL2
B7;641;p9_80;;dual;0.1x LBGM;30;24;P9PL2
B8;642;p9_81;;dual;0.1x LBGM;30;24;P9PL2
B9;643;p9_82;;dual;0.1x LBGM;30;24;P9PL2
B10;644;p9_83;;dual;0.1x LBGM;30;24;P9PL2
B11;645;p9_84;;dual;0.1x LBGM;30;24;P9PL2
B12;blk;blk;;blk;0.1x LBGM;30;24;P9PL2
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
C2;646;p9_85;;dual;0.1x LBGM;30;24;P9PL2
C3;647;p9_86;;dual;0.1x LBGM;30;24;P9PL2
C4;648;p9_87;;dual;0.1x LBGM;30;24;P9PL2
C5;649;p9_88;;dual;0.1x LBGM;30;24;P9PL2
C6;650;p9_89;;dual;0.1x LBGM;30;24;P9PL2
C7;651;p9_90;;dual;0.1x LBGM;30;24;P9PL2
C8;652;p9_91;;dual;0.1x LBGM;30;24;P9PL2
C9;653;p9_92;;dual;0.1x LBGM;30;24;P9PL2
C10;654;p9_93;;dual;0.1x LBGM;30;24;P9PL2
C11;655;p9_94;;dual;0.1x LBGM;30;24;P9PL2
C12;blk;blk;;blk;0.1x LBGM;30;24;P9PL2
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
D2;656;p9_95;;dual;0.1x LBGM;30;24;P9PL2
D3;657;p9_96;;dual;0.1x LBGM;30;24;P9PL2
D4;658;p9_97;;dual;0.1x LBGM;30;24;P9PL2
D5;659;p9_98;;dual;0.1x LBGM;30;24;P9PL2
D6;660;p9_99;;dual;0.1x LBGM;30;24;P9PL2
D7;661;p9_100;;dual;0.1x LBGM;30;24;P9PL2
D8;662;p9_101;;dual;0.1x LBGM;30;24;P9PL2
D9;663;p9_102;;dual;0.1x LBGM;30;24;P9PL2
D10;664;p9_103;;dual;0.1x LBGM;30;24;P9PL2
D11;665;p9_104;;dual;0.1x LBGM;30;24;P9PL2
D12;blk;blk;;blk;0.1x LBGM;30;24;P9PL2
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
E2;666;p9_105;;dual;0.1x LBGM;30;24;P9PL2
E3;667;p9_106;;dual;0.1x LBGM;30;24;P9PL2
E4;668;p9_107;;dual;0.1x LBGM;30;24;P9PL2
E5;669;p9_108;;dual;0.1x LBGM;30;24;P9PL2
E6;670;p9_109;;dual;0.1x LBGM;30;24;P9PL2
E7;671;p9_110;;dual;0.1x LBGM;30;24;P9PL2
E8;672;p9_111;;dual;0.1x LBGM;30;24;P9PL2
E9;673;p9_112;;dual;0.1x LBGM;30;24;P9PL2
E10;674;p9_113;;dual;0.1x LBGM;30;24;P9PL2
E11;675;p9_114;;dual;0.1x LBGM;30;24;P9PL2
E12;blk;blk;;blk;0.1x LBGM;30;24;P9PL2
F1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL2
F2;676;p9_115;;dual;0.1x LBGM;30;24;P9PL2
F3;677;p9_116;;dual;0.1x LBGM;30;24;P9PL2
F4;678;p9_117;;dual;0.1x LBGM;30;24;P9PL2
F5;679;p9_118;;dual;0.1x LBGM;30;24;P9PL2
F6;680;p9_119;;dual;0.1x LBGM;30;24;P9PL2
F7;681;p9_120;;dual;0.1x LBGM;30;24;P9PL2
F8;682;p9_121;;dual;0.1x LBGM;30;24;P9PL2
F9;683;p9_122;;dual;0.1x LBGM;30;24;P9PL2
F10;684;p9_123;;dual;0.1x LBGM;30;24;P9PL2
F11;685;p9_124;;dual;0.1x LBGM;30;24;P9PL2
