well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
A2;307;p8_25;;dual;0.1x LBGM;30;24;P8PL1
A3;308;p8_26;;dual;0.1x LBGM;30;24;P8PL1
A4;309;p8_27;;dual;0.1x LBGM;30;24;P8PL1
A5;310;p8_28;;dual;0.1x LBGM;30;24;P8PL1
A6;311;p8_29;;dual;0.1x LBGM;30;24;P8PL1
A7;312;p8_30;;dual;0.1x LBGM;30;24;P8PL1
A8;313;p8_31;;dual;0.1x LBGM;30;24;P8PL1
A9;314;p8_32;;dual;0.1x LBGM;30;24;P8PL1
A10;315;p8_33;;dual;0.1x LBGM;30;24;P8PL1
A11;316;p8_34;;dual;0.1x LBGM;30;24;P8PL1
A12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
B2;317;p8_35;;dual;0.1x LBGM;30;24;P8PL1
B3;318;p8_36;;dual;0.1x LBGM;30;24;P8PL1
B4;319;p8_37;;dual;0.1x LBGM;30;24;P8PL1
B5;320;p8_38;;dual;0.1x LBGM;30;24;P8PL1
B6;321;p8_39;;dual;0.1x LBGM;30;24;P8PL1
B7;322;p8_40;;dual;0.1x LBGM;30;24;P8PL1
B8;323;p8_41;;dual;0.1x LBGM;30;24;P8PL1
B9;324;p8_42;;dual;0.1x LBGM;30;24;P8PL1
B10;325;p8_43;;dual;0.1x LBGM;30;24;P8PL1
B11;326;p8_44;;dual;0.1x LBGM;30;24;P8PL1
B12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
C2;327;p8_45;;dual;0.1x LBGM;30;24;P8PL1
C3;328;p8_46;;dual;0.1x LBGM;30;24;P8PL1
C4;329;p8_47;;dual;0.1x LBGM;30;24;P8PL1
C5;330;p8_48;;dual;0.1x LBGM;30;24;P8PL1
C6;331;p8_49;;dual;0.1x LBGM;30;24;P8PL1
C7;332;p8_50;;dual;0.1x LBGM;30;24;P8PL1
C8;333;p8_51;;dual;0.1x LBGM;30;24;P8PL1
C9;334;p8_52;;dual;0.1x LBGM;30;24;P8PL1
C10;335;p8_53;;dual;0.1x LBGM;30;24;P8PL1
C11;336;p8_54;;dual;0.1x LBGM;30;24;P8PL1
C12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
D2;337;p8_55;;dual;0.1x LBGM;30;24;P8PL1
D3;338;p8_56;;dual;0.1x LBGM;30;24;P8PL1
D4;339;p8_57;;dual;0.1x LBGM;30;24;P8PL1
D5;340;p8_58;;dual;0.1x LBGM;30;24;P8PL1
D6;341;p8_59;;dual;0.1x LBGM;30;24;P8PL1
D7;342;p8_60;;dual;0.1x LBGM;30;24;P8PL1
D8;343;p8_61;;dual;0.1x LBGM;30;24;P8PL1
D9;344;p8_62;;dual;0.1x LBGM;30;24;P8PL1
D10;345;p8_63;;dual;0.1x LBGM;30;24;P8PL1
D11;346;p8_64;;dual;0.1x LBGM;30;24;P8PL1
D12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
E2;347;p8_65;;dual;0.1x LBGM;30;24;P8PL1
E3;348;p8_66;;dual;0.1x LBGM;30;24;P8PL1
E4;349;p8_67;;dual;0.1x LBGM;30;24;P8PL1
E5;350;p8_68;;dual;0.1x LBGM;30;24;P8PL1
E6;351;p8_69;;dual;0.1x LBGM;30;24;P8PL1
E7;352;p8_70;;dual;0.1x LBGM;30;24;P8PL1
E8;353;p8_71;;dual;0.1x LBGM;30;24;P8PL1
E9;354;p8_72;;dual;0.1x LBGM;30;24;P8PL1
E10;355;p8_73;;dual;0.1x LBGM;30;24;P8PL1
E11;356;p8_74;;dual;0.1x LBGM;30;24;P8PL1
E12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
F1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
F2;357;P8_75;;dual;0.1x LBGM;30;24;P8PL1
F3;358;P8_76;;dual;0.1x LBGM;30;24;P8PL1
F4;359;P8_77;;dual;0.1x LBGM;30;24;P8PL1
F5;360;P8_78;;dual;0.1x LBGM;30;24;P8PL1
F6;361;P8_79;;dual;0.1x LBGM;30;24;P8PL1
F7;362;P8_80;;dual;0.1x LBGM;30;24;P8PL1
F8;363;P8_81;;dual;0.1x LBGM;30;24;P8PL1
F9;364;P8_82;;dual;0.1x LBGM;30;24;P8PL1
F10;365;P8_83;;dual;0.1x LBGM;30;24;P8PL1
F11;366;P8_84;;dual;0.1x LBGM;30;24;P8PL1
F12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
G1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
G2;367;p8_85;;dual;0.1x LBGM;30;24;P8PL1
G3;368;p8_86;;dual;0.1x LBGM;30;24;P8PL1
G4;369;p8_87;;dual;0.1x LBGM;30;24;P8PL1
G5;370;p8_88;;dual;0.1x LBGM;30;24;P8PL1
G6;371;p8_89;;dual;0.1x LBGM;30;24;P8PL1
G7;372;p8_90;;dual;0.1x LBGM;30;24;P8PL1
G8;373;p8_91;;dual;0.1x LBGM;30;24;P8PL1
G9;374;p8_92;;dual;0.1x LBGM;30;24;P8PL1
G10;375;p8_93;;dual;0.1x LBGM;30;24;P8PL1
G11;376;p8_94;;dual;0.1x LBGM;30;24;P8PL1
G12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
H1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL1
H2;377;p8_95;;dual;0.1x LBGM;30;24;P8PL1
H3;378;p8_96;;dual;0.1x LBGM;30;24;P8PL1
H4;379;p8_97;;dual;0.1x LBGM;30;24;P8PL1
H5;380;p8_98;;dual;0.1x LBGM;30;24;P8PL1
H6;381;p8_99;;dual;0.1x LBGM;30;24;P8PL1
H7;382;p8_100;;dual;0.1x LBGM;30;24;P8PL1
H8;383;p8_101;;dual;0.1x LBGM;30;24;P8PL1
H9;384;p8_102;;dual;0.1x LBGM;30;24;P8PL1
H10;385;p8_103;;dual;0.1x LBGM;30;24;P8PL1
H11;386;p8_104;;dual;0.1x LBGM;30;24;P8PL1
H12;blk;blk;;blk;0.1x LBGM;30;24;P8PL1
