well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
A2;706;p9_145;;dual;0.1x LBGM;30;24;P9PL3
A3;707;p9_146;;dual;0.1x LBGM;30;24;P9PL3
A4;708;p9_147;;dual;0.1x LBGM;30;24;P9PL3
A5;709;p9_148;;dual;0.1x LBGM;30;24;P9PL3
A6;710;p9_149;;dual;0.1x LBGM;30;24;P9PL3
A7;711;p9_150;;dual;0.1x LBGM;30;24;P9PL3
A8;712;p9_151;;dual;0.1x LBGM;30;24;P9PL3
A9;713;p9_152;;dual;0.1x LBGM;30;24;P9PL3
A10;714;p9_153;;dual;0.1x LBGM;30;24;P9PL3
A11;715;p9_154;;dual;0.1x LBGM;30;24;P9PL3
A12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
B2;716;p9_155;;dual;0.1x LBGM;30;24;P9PL3
B3;717;p9_156;;dual;0.1x LBGM;30;24;P9PL3
B4;718;p9_157;;dual;0.1x LBGM;30;24;P9PL3
B5;719;p9_158;;dual;0.1x LBGM;30;24;P9PL3
B6;720;p9_159;;dual;0.1x LBGM;30;24;P9PL3
B7;721;p9_160;;dual;0.1x LBGM;30;24;P9PL3
B8;722;p9_161;;dual;0.1x LBGM;30;24;P9PL3
B9;723;p9_162;;dual;0.1x LBGM;30;24;P9PL3
B10;724;p9_163;;dual;0.1x LBGM;30;24;P9PL3
B11;725;p9_164;;dual;0.1x LBGM;30;24;P9PL3
B12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
C2;726;p9_165;;dual;0.1x LBGM;30;24;P9PL3
C3;727;p9_166;;dual;0.1x LBGM;30;24;P9PL3
C4;728;p9_167;;dual;0.1x LBGM;30;24;P9PL3
C5;729;p9_168;;dual;0.1x LBGM;30;24;P9PL3
C6;730;p9_169;;dual;0.1x LBGM;30;24;P9PL3
C7;731;p9_170;;dual;0.1x LBGM;30;24;P9PL3
C8;732;p9_171;;dual;0.1x LBGM;30;24;P9PL3
C9;733;p9_172;;dual;0.1x LBGM;30;24;P9PL3
C10;734;p9_173;;dual;0.1x LBGM;30;24;P9PL3
C11;735;p9_174;;dual;0.1x LBGM;30;24;P9PL3
C12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
D2;736;p9_175;;dual;0.1x LBGM;30;24;P9PL3
D3;737;p9_176;;dual;0.1x LBGM;30;24;P9PL3
D4;738;p9_177;;dual;0.1x LBGM;30;24;P9PL3
D5;739;p9_178;;dual;0.1x LBGM;30;24;P9PL3
D6;740;p9_179;;dual;0.1x LBGM;30;24;P9PL3
D7;741;p9_180;;dual;0.1x LBGM;30;24;P9PL3
D8;742;p9_181;;dual;0.1x LBGM;30;24;P9PL3
D9;743;p9_182;;dual;0.1x LBGM;30;24;P9PL3
D10;744;p9_183;;dual;0.1x LBGM;30;24;P9PL3
D11;745;p9_184;;dual;0.1x LBGM;30;24;P9PL3
D12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
E2;746;p9_185;;dual;0.1x LBGM;30;24;P9PL3
E3;747;p9_186;;dual;0.1x LBGM;30;24;P9PL3
E4;748;p9_187;;dual;0.1x LBGM;30;24;P9PL3
E5;749;p9_188;;dual;0.1x LBGM;30;24;P9PL3
E6;750;p9_189;;dual;0.1x LBGM;30;24;P9PL3
E7;751;p9_190;;dual;0.1x LBGM;30;24;P9PL3
E8;752;p9_191;;dual;0.1x LBGM;30;24;P9PL3
E9;753;p9_192;;dual;0.1x LBGM;30;24;P9PL3
E10;754;p9_193;;dual;0.1x LBGM;30;24;P9PL3
E11;755;p9_194;;dual;0.1x LBGM;30;24;P9PL3
E12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
F1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
F2;756;p9_195;;dual;0.1x LBGM;30;24;P9PL3
F3;757;p9_196;;dual;0.1x LBGM;30;24;P9PL3
F4;758;p9_197;;dual;0.1x LBGM;30;24;P9PL3
F5;759;p9_198;;dual;0.1x LBGM;30;24;P9PL3
F6;760;p9_199;;dual;0.1x LBGM;30;24;P9PL3
F7;761;p9_200;;dual;0.1x LBGM;30;24;P9PL3
F8;762;p9_201;;dual;0.1x LBGM;30;24;P9PL3
F9;763;p9_202;;dual;0.1x LBGM;30;24;P9PL3
F10;764;p9_203;;dual;0.1x LBGM;30;24;P9PL3
F11;765;p9_204;;dual;0.1x LBGM;30;24;P9PL3
F12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
G1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
G2;766;p9_205;;dual;0.1x LBGM;30;24;P9PL3
G3;767;p9_206;;dual;0.1x LBGM;30;24;P9PL3
G4;768;p9_207;;dual;0.1x LBGM;30;24;P9PL3
G5;769;p9_208;;dual;0.1x LBGM;30;24;P9PL3
G6;770;p9_209;;dual;0.1x LBGM;30;24;P9PL3
G7;771;p9_210;;dual;0.1x LBGM;30;24;P9PL3
G8;772;p9_211;;dual;0.1x LBGM;30;24;P9PL3
G9;773;p9_212;;dual;0.1x LBGM;30;24;P9PL3
G10;774;p9_213;;dual;0.1x LBGM;30;24;P9PL3
G11;775;p9_214;;dual;0.1x LBGM;30;24;P9PL3
G12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
H1;Bs;Bs;;mono;0.1x LBGM;30;24;P9PL3
H2;776;p9_215;;dual;0.1x LBGM;30;24;P9PL3
H3;777;p9_216;;dual;0.1x LBGM;30;24;P9PL3
H4;778;p9_217;;dual;0.1x LBGM;30;24;P9PL3
H5;779;p9_218;;dual;0.1x LBGM;30;24;P9PL3
H6;780;p9_219;;dual;0.1x LBGM;30;24;P9PL3
H7;781;p9_220;;dual;0.1x LBGM;30;24;P9PL3
H8;782;p9_221;;dual;0.1x LBGM;30;24;P9PL3
H9;783;p9_222;;dual;0.1x LBGM;30;24;P9PL3
H10;784;p9_223;;dual;0.1x LBGM;30;24;P9PL3
H11;785;p9_224;;dual;0.1x LBGM;30;24;P9PL3
H12;blk;blk;;blk;0.1x LBGM;30;24;P9PL3
