well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
A2;227;p5_161;;dual;0.1x LBGM;30;24;P5PL3
A3;228;p5_162;;dual;0.1x LBGM;30;24;P5PL3
A4;229;p5_163;;dual;0.1x LBGM;30;24;P5PL3
A5;230;p5_164;;dual;0.1x LBGM;30;24;P5PL3
A6;231;p5_165;;dual;0.1x LBGM;30;24;P5PL3
A7;232;p5_166;;dual;0.1x LBGM;30;24;P5PL3
A8;233;p5_167;;dual;0.1x LBGM;30;24;P5PL3
A9;234;p8_1;;dual;0.1x LBGM;30;24;P5PL3
A10;235;p8_2;;dual;0.1x LBGM;30;24;P5PL3
A11;236;p8_3;;dual;0.1x LBGM;30;24;P5PL3
A12;blk;blk;;blk;0.1x LBGM;30;24;P5PL3
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
B2;237;p5_171;;dual;0.1x LBGM;30;24;P5PL3
B3;238;p5_172;;dual;0.1x LBGM;30;24;P5PL3
B4;239;p5_173;;dual;0.1x LBGM;30;24;P5PL3
B5;240;p5_174;;dual;0.1x LBGM;30;24;P5PL3
B6;241;p5_175;;dual;0.1x LBGM;30;24;P5PL3
B7;242;p5_176;;dual;0.1x LBGM;30;24;P5PL3
B8;243;p5_177;;dual;0.1x LBGM;30;24;P5PL3
B9;244;p8_4;;dual;0.1x LBGM;30;24;P5PL3
B10;245;p8_5;;dual;0.1x LBGM;30;24;P5PL3
B11;246;p8_6;;dual;0.1x LBGM;30;24;P5PL3
B12;blk;blk;;blk;0.1x LBGM;30;24;P5PL3
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
C2;247;p5_181;;dual;0.1x LBGM;30;24;P5PL3
C3;248;p5_182;;dual;0.1x LBGM;30;24;P5PL3
C4;249;p5_183;;dual;0.1x LBGM;30;24;P5PL3
C5;250;p5_184;;dual;0.1x LBGM;30;24;P5PL3
C6;251;p5_185;;dual;0.1x LBGM;30;24;P5PL3
C7;252;p5_186;;dual;0.1x LBGM;30;24;P5PL3
C8;253;p5_187;;dual;0.1x LBGM;30;24;P5PL3
C9;254;p8_7;;dual;0.1x LBGM;30;24;P5PL3
C10;255;p8_8;;dual;0.1x LBGM;30;24;P5PL3
C11;256;p8_9;;dual;0.1x LBGM;30;24;P5PL3
C12;blk;blk;;blk;0.1x LBGM;30;24;P5PL3
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
D2;257;p5_191;;dual;0.1x LBGM;30;24;P5PL3
D3;258;p5_192;;dual;0.1x LBGM;30;24;P5PL3
D4;259;p5_193;;dual;0.1x LBGM;30;24;P5PL3
D5;260;p5_194;;dual;0.1x LBGM;30;24;P5PL3
D6;261;p5_195;;dual;0.1x LBGM;30;24;P5PL3
D7;262;p5_196;;dual;0.1x LBGM;30;24;P5PL3
D8;263;p5_197;;dual;0.1x LBGM;30;24;P5PL3
D9;264;p8_10;;dual;0.1x LBGM;30;24;P5PL3
D10;265;p8_11;;dual;0.1x LBGM;30;24;P5PL3
D11;266;p8_12;;dual;0.1x LBGM;30;24;P5PL3
D12;blk;blk;;blk;0.1x LBGM;30;24;P5PL3
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
E2;267;p5_201;;dual;0.1x LBGM;30;24;P5PL3
E3;268;p5_202;;dual;0.1x LBGM;30;24;P5PL3
E4;269;p5_203;;dual;0.1x LBGM;30;24;P5PL3
E5;270;p5_204;;dual;0.1x LBGM;30;24;P5PL3
E6;271;p5_205;;dual;0.1x LBGM;30;24;P5PL3
E7;272;p5_206;;dual;0.1x LBGM;30;24;P5PL3
E8;273;p5_207;;dual;0.1x LBGM;30;24;P5PL3
E9;274;p8_13;;dual;0.1x LBGM;30;24;P5PL3
E10;275;p8_14;;dual;0.1x LBGM;30;24;P5PL3
E11;276;p8_15;;dual;0.1x LBGM;30;24;P5PL3
E12;blk;blk;;blk;0.1x LBGM;30;24;P5PL3
F1;Bs;Bs;;mono;0.1x LBGM;30;24;P5PL3
F2;277;p5_211;;dual;0.1x LBGM;30;24;P5PL3
F3;278;p5_212;;dual;0.1x LBGM;30;24;P5PL3
