well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL3
A2;467;p8_185;;dual;0.1x LBGM;30;24;P8PL3
A3;468;p8_186;;dual;0.1x LBGM;30;24;P8PL3
A4;469;p8_187;;dual;0.1x LBGM;30;24;P8PL3
A5;470;p8_188;;dual;0.1x LBGM;30;24;P8PL3
A6;471;p8_189;;dual;0.1x LBGM;30;24;P8PL3
A7;472;p8_190;;dual;0.1x LBGM;30;24;P8PL3
A8;473;p8_191;;dual;0.1x LBGM;30;24;P8PL3
A9;474;p8_192;;dual;0.1x LBGM;30;24;P8PL3
A10;475;p8_193;;dual;0.1x LBGM;30;24;P8PL3
A11;476;p8_194;;dual;0.1x LBGM;30;24;P8PL3
A12;blk;blk;;blk;0.1x LBGM;30;24;P8PL3
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL3
B2;477;p8_195;;dual;0.1x LBGM;30;24;P8PL3
B3;478;p8_196;;dual;0.1x LBGM;30;24;P8PL3
B4;479;p8_197;;dual;0.1x LBGM;30;24;P8PL3
B5;480;p8_198;;dual;0.1x LBGM;30;24;P8PL3
B6;481;p8_199;;dual;0.1x LBGM;30;24;P8PL3
B7;482;p8_200;;dual;0.1x LBGM;30;24;P8PL3
B8;483;p8_201;;dual;0.1x LBGM;30;24;P8PL3
B9;484;p8_202;;dual;0.1x LBGM;30;24;P8PL3
B10;485;p8_203;;dual;0.1x LBGM;30;24;P8PL3
B11;486;p8_204;;dual;0.1x LBGM;30;24;P8PL3
B12;blk;blk;;blk;0.1x LBGM;30;24;P8PL3
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL3
C2;487;p8_205;;dual;0.1x LBGM;30;24;P8PL3
C3;488;p8_206;;dual;0.1x LBGM;30;24;P8PL3
C4;489;p8_207;;dual;0.1x LBGM;30;24;P8PL3
C5;490;p8_208;;dual;0.1x LBGM;30;24;P8PL3
C6;491;p8_209;;dual;0.1x LBGM;30;24;P8PL3
C7;492;p8_210;;dual;0.1x LBGM;30;24;P8PL3
C8;493;p8_211;;dual;0.1x LBGM;30;24;P8PL3
C9;494;p8_212;;dual;0.1x LBGM;30;24;P8PL3
C10;495;p8_213;;dual;0.1x LBGM;30;24;P8PL3
C11;496;p8_214;;dual;0.1x LBGM;30;24;P8PL3
C12;blk;blk;;blk;0.1x LBGM;30;24;P8PL3
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL3
