well;sample;iso_id;species;culture;medium;temp;time;plate
A1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL2
A2;387;p8_105;;dual;0.1x LBGM;30;24;P8PL2
A3;388;p8_106;;dual;0.1x LBGM;30;24;P8PL2
A4;389;p8_107;;dual;0.1x LBGM;30;24;P8PL2
A5;390;p8_108;;dual;0.1x LBGM;30;24;P8PL2
A6;391;p8_109;;dual;0.1x LBGM;30;24;P8PL2
A7;392;p8_110;;dual;0.1x LBGM;30;24;P8PL2
A8;393;p8_111;;dual;0.1x LBGM;30;24;P8PL2
A9;394;p8_112;;dual;0.1x LBGM;30;24;P8PL2
A10;395;p8_113;;dual;0.1x LBGM;30;24;P8PL2
A11;396;p8_114;;dual;0.1x LBGM;30;24;P8PL2
A12;blk;blk;;blk;0.1x LBGM;30;24;P8PL2
B1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL2
B2;397;p8_115;;dual;0.1x LBGM;30;24;P8PL2
B3;398;p8_116;;dual;0.1x LBGM;30;24;P8PL2
B4;399;p8_117;;dual;0.1x LBGM;30;24;P8PL2
B5;400;p8_118;;dual;0.1x LBGM;30;24;P8PL2
B6;401;p8_119;;dual;0.1x LBGM;30;24;P8PL2
B7;402;p8_120;;dual;0.1x LBGM;30;24;P8PL2
B8;403;p8_121;;dual;0.1x LBGM;30;24;P8PL2
B9;404;p8_122;;dual;0.1x LBGM;30;24;P8PL2
B10;405;p8_123;;dual;0.1x LBGM;30;24;P8PL2
B11;406;p8_124;;dual;0.1x LBGM;30;24;P8PL2
B12;blk;blk;;blk;0.1x LBGM;30;24;P8PL2
C1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL2
C2;407;p8_125;;dual;0.1x LBGM;30;24;P8PL2
C3;408;p8_126;;dual;0.1x LBGM;30;24;P8PL2
C4;409;p8_127;;dual;0.1x LBGM;30;24;P8PL2
C5;410;p8_128;;dual;0.1x LBGM;30;24;P8PL2
C6;411;p8_129;;dual;0.1x LBGM;30;24;P8PL2
C7;412;p8_130;;dual;0.1x LBGM;30;24;P8PL2
C8;413;p8_131;;dual;0.1x LBGM;30;24;P8PL2
C9;414;p8_132;;dual;0.1x LBGM;30;24;P8PL2
C10;415;p8_133;;dual;0.1x LBGM;30;24;P8PL2
C11;416;p8_134;;dual;0.1x LBGM;30;24;P8PL2
C12;blk;blk;;blk;0.1x LBGM;30;24;P8PL2
D1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL2
D2;417;p8_135;;dual;0.1x LBGM;30;24;P8PL2
D3;418;p8_136;;dual;0.1x LBGM;30;24;P8PL2
D4;419;p8_137;;dual;0.1x LBGM;30;24;P8PL2
D5;420;p8_138;;dual;0.1x LBGM;30;24;P8PL2
D6;421;p8_139;;dual;0.1x LBGM;30;24;P8PL2
D7;422;p8_140;;dual;0.1x LBGM;30;24;P8PL2
D8;423;p8_141;;dual;0.1x LBGM;30;24;P8PL2
D9;424;p8_142;;dual;0.1x LBGM;30;24;P8PL2
D10;425;p8_143;;dual;0.1x LBGM;30;24;P8PL2
D11;426;p8_144;;dual;0.1x LBGM;30;24;P8PL2
D12;blk;blk;;blk;0.1x LBGM;30;24;P8PL2
E1;Bs;Bs;;mono;0.1x LBGM;30;24;P8PL2
E2;427;p8_145;;dual;0.1x LBGM;30;24;P8PL2
E3;428;p8_146;;dual;0.1x LBGM;30;24;P8PL2
E4;429;p8_147;;dual;0.1x LBGM;30;24;P8PL2
E5;430;p8_148;;dual;0.1x LBGM;30;24;P8PL2
E6;431;p8_149;;dual;0.1x LBGM;30;24;P8PL2
E7;432;p8_150;;dual;0.1x LBGM;30;24;P8PL2
E8;433;p8_151;;dual;0.1x LBGM;30;24;P8PL2
E9;434;p8_152;;dual;0.1x LBGM;30;24;P8PL2
E10;435;p8_153;;dual;0.1x LBGM;30;24;P8PL2
E11;436;p8_154;;dual;0.1x LBGM;30;24;P8PL2
E12;blk;blk;;blk;0.1x LBGM;30;24;P8PL2
